,SN1OH01,HBr,HBr_dil_x_10,SN1OH01_dil_x_100,HBr_dil_x_10000,DMF
71,190.1246843,87.500375,0,0,0,222.3749407
72,190.1246843,91.66691667,0,0,0,218.208399
73,190.1246843,95.83345833,0,0,0,214.0418573
74,190.1246843,100,0,0,0,209.8753157
75,285.0623422,0,0,0,30,184.9376578
76,285.0623422,0,41.69541667,0,0,173.2422412
77,285.0623422,0,83.36083333,0,0,131.5768245
78,285.0623422,12.502625,0,0,0,202.4350328
79,285.0623422,16.66916667,0,0,0,198.2684912
80,285.0623422,20.83570833,0,0,0,194.1019495
81,285.0623422,25.00225,0,0,0,189.9354078
82,285.0623422,29.16879167,0,0,0,185.7688662
83,285.0623422,33.33533333,0,0,0,181.6023245
84,285.0623422,37.501875,0,0,0,177.4357828
85,285.0623422,41.66841667,0,0,0,173.2692412
86,285.0623422,45.83495833,0,0,0,169.1026995
87,285.0623422,50.0015,0,0,0,164.9361578
88,285.0623422,54.16804167,0,0,0,160.7696162
89,285.0623422,58.33458333,0,0,0,156.6030745
90,285.0623422,62.501125,0,0,0,152.4365328
91,285.0623422,66.66766667,0,0,0,148.2699912
92,285.0623422,70.83420833,0,0,0,144.1034495
93,285.0623422,75.00075,0,0,0,139.9369078
94,285.0623422,79.16729167,0,0,0,135.7703662
95,285.0623422,83.33383333,0,0,0,131.6038245
96,285.0623422,87.500375,0,0,0,127.4372828
97,285.0623422,91.66691667,0,0,0,123.2707412
98,285.0623422,95.83345833,0,0,0,119.1041995
99,285.0623422,100,0,0,0,114.9376578
100,380,0,0,0,30,90
101,380,0,41.69541667,0,0,78.30458333
102,380,0,83.36083333,0,0,36.63916667
103,380,12.502625,0,0,0,107.497375
104,380,16.66916667,0,0,0,103.3308333
105,380,20.83570833,0,0,0,99.16429167
106,380,25.00225,0,0,0,94.99775
107,380,29.16879167,0,0,0,90.83120833
108,380,33.33533333,0,0,0,86.66466667
109,380,37.501875,0,0,0,82.498125
110,380,41.66841667,0,0,0,78.33158333
111,380,45.83495833,0,0,0,74.16504167
112,380,50.0015,0,0,0,69.9985
113,380,54.16804167,0,0,0,65.83195833
114,380,58.33458333,0,0,0,61.66541667
115,380,62.501125,0,0,0,57.498875
116,380,66.66766667,0,0,0,53.33233333
117,380,70.83420833,0,0,0,49.16579167
118,380,75.00075,0,0,0,44.99925
119,380,79.16729167,0,0,0,40.83270833
120,380,83.33383333,0,0,0,36.66616667
121,380,87.500375,0,0,0,32.499625
122,380,91.66691667,0,0,0,28.33308333
123,380,95.83345833,0,0,0,24.16654167
124,380,100,0,0,0,20
