,ald001,am001,ic001,ptsa,ptsa_dil_x_10,DMF
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
188,20,24.4137931,50,40,0,65.5862069
189,20,25.03448276,20,0,16,118.9655172
190,20,25.03448276,20,20.8,0,114.1655172
191,20,25.03448276,20,40,0,94.96551724
192,20,25.03448276,35,0,16,103.9655172
193,20,25.03448276,35,20.8,0,99.16551724
194,20,25.03448276,35,40,0,79.96551724
195,20,25.03448276,50,0,16,88.96551724
196,20,25.03448276,50,20.8,0,84.16551724
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
197,20,25.03448276,50,40,0,64.96551724
198,20,25.65517241,20,0,16,118.3448276
199,20,25.65517241,20,20.8,0,113.5448276
200,20,25.65517241,20,40,0,94.34482759
201,20,25.65517241,35,0,16,103.3448276
202,20,25.65517241,35,20.8,0,98.54482759
203,20,25.65517241,35,40,0,79.34482759
204,20,25.65517241,50,0,16,88.34482759
205,20,25.65517241,50,20.8,0,83.54482759
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
206,20,25.65517241,50,40,0,64.34482759
207,20,26.27586207,20,0,16,117.7241379
208,20,26.27586207,20,20.8,0,112.9241379
209,20,26.27586207,20,40,0,93.72413793
210,20,26.27586207,35,0,16,102.7241379
211,20,26.27586207,35,20.8,0,97.92413793
212,20,26.27586207,35,40,0,78.72413793
213,20,26.27586207,50,0,16,87.72413793
214,20,26.27586207,50,20.8,0,82.92413793
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
215,20,26.27586207,50,40,0,63.72413793
216,20,26.89655172,20,0,16,117.1034483
217,20,26.89655172,20,20.8,0,112.3034483
218,20,26.89655172,20,40,0,93.10344828
219,20,26.89655172,35,0,16,102.1034483
220,20,26.89655172,35,20.8,0,97.30344828
221,20,26.89655172,35,40,0,78.10344828
222,20,26.89655172,50,0,16,87.10344828
223,20,26.89655172,50,20.8,0,82.30344828
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
224,20,26.89655172,50,40,0,63.10344828
225,20,27.51724138,20,0,16,116.4827586
226,20,27.51724138,20,20.8,0,111.6827586
227,20,27.51724138,20,40,0,92.48275862
228,20,27.51724138,35,0,16,101.4827586
229,20,27.51724138,35,20.8,0,96.68275862
230,20,27.51724138,35,40,0,77.48275862
231,20,27.51724138,50,0,16,86.48275862
232,20,27.51724138,50,20.8,0,81.68275862
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
233,20,27.51724138,50,40,0,62.48275862
234,20,28.13793103,20,0,16,115.862069
235,20,28.13793103,20,20.8,0,111.062069
236,20,28.13793103,20,40,0,91.86206897
237,20,28.13793103,35,0,16,100.862069
238,20,28.13793103,35,20.8,0,96.06206897
239,20,28.13793103,35,40,0,76.86206897
240,20,28.13793103,50,0,16,85.86206897
241,20,28.13793103,50,20.8,0,81.06206897
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
242,20,28.13793103,50,40,0,61.86206897
243,20,28.75862069,20,0,16,115.2413793
244,20,28.75862069,20,20.8,0,110.4413793
245,20,28.75862069,20,40,0,91.24137931
246,20,28.75862069,35,0,16,100.2413793
247,20,28.75862069,35,20.8,0,95.44137931
248,20,28.75862069,35,40,0,76.24137931
249,20,28.75862069,50,0,16,85.24137931
250,20,28.75862069,50,20.8,0,80.44137931
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
251,20,28.75862069,50,40,0,61.24137931
252,20,29.37931034,20,0,16,114.6206897
253,20,29.37931034,20,20.8,0,109.8206897
254,20,29.37931034,20,40,0,90.62068966
255,20,29.37931034,35,0,16,99.62068966
256,20,29.37931034,35,20.8,0,94.82068966
257,20,29.37931034,35,40,0,75.62068966
258,20,29.37931034,50,0,16,84.62068966
259,20,29.37931034,50,20.8,0,79.82068966
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
260,20,29.37931034,50,40,0,60.62068966
261,20,30,20,0,16,114
262,20,30,20,20.8,0,109.2
263,20,30,20,40,0,90
264,20,30,35,0,16,99
265,20,30,35,20.8,0,94.2
266,20,30,35,40,0,75
267,20,30,50,0,16,84
268,20,30,50,20.8,0,79.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
269,20,30,50,40,0,60
270,35,12,20,0,16,117
271,35,12,20,20.8,0,112.2
272,35,12,20,40,0,93
273,35,12,35,0,16,102
274,35,12,35,20.8,0,97.2
275,35,12,35,40,0,78
276,35,12,50,0,16,87
277,35,12,50,20.8,0,82.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
278,35,12,50,40,0,63
279,35,12.62068966,20,0,16,116.3793103
280,35,12.62068966,20,20.8,0,111.5793103
281,35,12.62068966,20,40,0,92.37931034
282,35,12.62068966,35,0,16,101.3793103
283,35,12.62068966,35,20.8,0,96.57931034
284,35,12.62068966,35,40,0,77.37931034
285,35,12.62068966,50,0,16,86.37931034
286,35,12.62068966,50,20.8,0,81.57931034
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
287,35,12.62068966,50,40,0,62.37931034
288,35,13.24137931,20,0,16,115.7586207
