index,reaction_id,DMF,ald001,ptsa,am001,ic001
55,28,63.7137931,42.5,22.7862069,21,50
56,29,62.38965517,42.5,24.11034483,21,50
57,30,61.06551724,42.5,25.43448276,21,50
58,31,59.74137931,42.5,26.75862069,21,50
59,32,58.41724138,42.5,28.08275862,21,50
60,33,57.09310345,42.5,29.40689655,21,50
61,34,55.76896552,42.5,30.73103448,21,50
62,35,54.44482759,42.5,32.05517241,21,50
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,36,53.12068966,42.5,33.37931034,21,50
73,37,51.79655172,42.5,34.70344828,21,50
74,38,50.47241379,42.5,36.02758621,21,50
75,39,49.14827586,42.5,37.35172414,21,50
76,40,47.82413793,42.5,38.67586207,21,50
77,41,46.5,42.5,40,21,50
78,42,78.7137931,27.5,22.7862069,21,50
79,43,77.38965517,27.5,24.11034483,21,50
80,44,76.06551724,27.5,25.43448276,21,50
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,45,74.74137931,27.5,26.75862069,21,50
91,46,73.41724138,27.5,28.08275862,21,50
92,47,72.09310345,27.5,29.40689655,21,50
93,48,70.76896552,27.5,30.73103448,21,50
94,49,69.44482759,27.5,32.05517241,21,50
95,50,68.12068966,27.5,33.37931034,21,50
96,51,66.79655172,27.5,34.70344828,21,50
97,52,65.47241379,27.5,36.02758621,21,50
98,53,64.14827586,27.5,37.35172414,21,50
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,54,62.82413793,27.5,38.67586207,21,50
109,55,61.5,27.5,40,21,50
110,56,66.7137931,35,22.7862069,25.5,50
111,57,65.38965517,35,24.11034483,25.5,50
112,58,64.06551724,35,25.43448276,25.5,50
113,59,62.74137931,35,26.75862069,25.5,50
114,60,61.41724138,35,28.08275862,25.5,50
115,61,60.09310345,35,29.40689655,25.5,50
116,62,58.76896552,35,30.73103448,25.5,50
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,63,57.44482759,35,32.05517241,25.5,50
127,64,56.12068966,35,33.37931034,25.5,50
128,65,54.79655172,35,34.70344828,25.5,50
129,66,53.47241379,35,36.02758621,25.5,50
130,67,52.14827586,35,37.35172414,25.5,50
131,68,50.82413793,35,38.67586207,25.5,50
132,69,49.5,35,40,25.5,50
133,70,75.7137931,35,22.7862069,16.5,50
134,71,74.38965517,35,24.11034483,16.5,50
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,72,73.06551724,35,25.43448276,16.5,50
145,73,71.74137931,35,26.75862069,16.5,50
